"BmpId","BmpShortName","BmpFullName","BmpCategoryId","BmpDetails","ParentBmpId","ParentBmpFullName","BmpGroupId","BmpTypeId"
93,nontideaft,Algal Flow-way Non-Tidal,1,"Algal flow-way technologies are inclined race-ways in non-tidal waters that receive nutrient-laden water so natural algal assemblages can accumulate and then be harvested for an end use. Where tidal conditions are not known, use this BMP. Enter units of acres only.",93,Algal Flow-way,74,4
94,nontideaftmon,Algal Flow-way  Non-Tidal Monitored,1,"Algal flow-way technologies are inclined race-ways in non-tidal waters that receive nutrient-laden water so natural algal assemblages can accumulate and then be harvested for an end use. Inflow/outflow biomass monitoring is required. Enter units of acres and pounds of TN, TP, or TSS.",93,,74,4
95,covercroptradnutohnd,"Cover Crop Traditional with Fall Nutrients Oats, Winter Hardy Normal Drilled",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
96,covercroptradbeo,Cover Crop Traditional Barley Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Barley cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
97,covercroptradbea,Cover Crop Traditional Barley Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Barley cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
98,covercroptradbnd,Cover Crop Traditional Barley Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Barley cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
99,covercroptradbno,Cover Crop Traditional Barley Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Barley cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
100,ftw1,Floating Treatment Wetland 10% Coverage of Pond,1,"Floating treatment wetlands are rafts of wetland vegetation deployed in existing wet ponds with a drainage area of <400 acres. First report wet ponds or stormwater performance standard-stormwater treatment (ST), then report the BMP according to the percent of pond area covered in the wetland rafts. Report units of acres treated by the wet pond.",100,Floating Treatment Wetland,47,3
101,ftw2,Floating Treatment Wetland 20% Coverage of Pond,1,"Floating treatment wetlands are rafts of wetland vegetation deployed in existing wet ponds with a drainage area of <400 acres. First report wet ponds or stormwater performance standard-stormwater treatment (ST), then report the BMP according to the percent of pond area covered in the wetland rafts. Report units of acres treated by the wet pond.",100,,47,3
102,ftw3,Floating Treatment Wetland 30% Coverage of Pond,1,"Floating treatment wetlands are rafts of wetland vegetation deployed in existing wet ponds with a drainage area of <400 acres. First report wet ponds or stormwater performance standard-stormwater treatment (ST), then report the BMP according to the percent of pond area covered in the wetland rafts. Report units of acres treated by the wet pond.",100,,47,3
103,ftw4,Floating Treatment Wetland 40% Coverage of Pond,1,"Floating treatment wetlands are rafts of wetland vegetation deployed in existing wet ponds with a drainage area of <400 acres. First report wet ponds or stormwater performance standard-stormwater treatment (ST), then report the BMP according to the percent of pond area covered in the wetland rafts. Report units of acres treated by the wet pond.",100,,47,3
104,ftw5,Floating Treatment Wetland 50% Coverage of Pond,1,"Floating treatment wetlands are rafts of wetland vegetation deployed in existing wet ponds with a drainage area of <400 acres. First report wet ponds or stormwater performance standard-stormwater treatment (ST), then report the BMP according to the percent of pond area covered in the wetland rafts. Report units of acres treated by the wet pond.",100,,47,3
105,covercroptradnutohno,"Cover Crop Traditional with Fall Nutrients Oats, Winter Hardy Normal Other",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted no more than 2 weeks prior to the average frost date with a seeding method other than drilled on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
106,covercroptradfed,Cover Crop Traditional Forage Radish Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
107,covercroptradfeo,Cover Crop Traditional Forage Radish Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
108,capturereuse,Irrigation Water Capture Reuse,1,"In container nursery operations, runoff of irrigation water and leachate from plant containers grown on plastic or in greenhouses is routed to lined return ditches or piped to lined holding ponds. Ponds are designed to retain all excess irrigation water runoff or leachate and capture the first one-half to one-inch of stormwater runoff. Water is recirculated for irrigation in nursery and greenhouse operations or irrigated at the proper times of year on other vegetation capable of trapping nutrients at agronomic rates, such as cool season grasses.  Enter units of acres or percent.",108,Irrigation Water Capture Reuse,114,3
109,covercropcomearly,Cover Crop Commodity Early,1,A winter cereal crop planted for harvest in the spring that does not receive any fall nutrient applications. The crop is planted at least 2 weeks prior to the average frost date. Enter units of acres or percent.,110,,43,3
110,covercropcomnormal,Cover Crop Commodity Normal,1,A winter cereal crop planted for harvest in the spring that does not receive any fall nutrient applications. The crop is planted 2 weeks prior to the average frost date. Use this BMP where plant date is unknown. Enter units of acres or percent.,110,Commodity Cover Crop,43,3
111,covercropcomlate,Cover Crop Commodity Late,1,A winter cereal crop planted for harvest in the spring that does not receive any fall nutrient applications. The crop is planted at least 2 weeks after the average frost date. Enter units of acres or percent.,110,,43,3
112,covercroptradnutarno,Cover Crop Traditional with Fall Nutrients Annual Ryegrass Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted no more than 2 weeks prior to the average frost date with a seeding method other than drilled on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
113,covercroptradnutohed,"Cover Crop Traditional with Fall Nutrients Oats, Winter Hardy Early Drilled",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
114,covercroptradnutoheo,"Cover Crop Traditional with Fall Nutrients Oats, Winter Hardy Early Other",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted at least 2 weeks prior to the average frost date with a seeding method other than drilled on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
115,covercroptradfea,Cover Crop Traditional Forage Radish Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
116,covercroptradfped,Cover Crop Traditional Forage Radish Plus Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
117,covercroptradfpeo,Cover Crop Traditional Forage Radish Plus Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
118,covercroptradfpea,Cover Crop Traditional Forage Radish Plus Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
119,ditchfilter,Sorbing Materials in Ag Ditches,1,Application of gypsum or other phosphorus-sorbing materials  in channel engineered systems that sorb available dissolved phosphorus in cropland drainage systems for removal and reuse as an agricultural fertilizer. Enter units of acres or percent.,36,,97,3
120,saturatedbuffer,Saturated Buffer,1,"Diversion of tile-line flow to a subsurface, perforated distribution pipe used to divert and spread drainage system discharge to a vegetated area to increase soil saturation. Enter units of length or acres of buffer.",70,,95,1
121,saturatedbuffereff,Saturated Buffers Upland Acres,1,"Upland area credited with a nitrogen, phosphorus and sediment load reduction as part of a saturated buffer installation.  Acres of the upland area credited are determined by the acres entered as a land use change.",121,Saturated Buffers Upland Acres,22,3
122,covercroptradfpnd,Cover Crop Traditional Forage Radish Plus Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
123,covercroptradfpno,Cover Crop Traditional Forage Radish Plus Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Forage radish cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
124,covercroptradled,Cover Crop Traditional Annual Legume Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
125,covercroptradleo,Cover Crop Traditional Annual Legume Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
126,covercroptradlea,Cover Crop Traditional Annual Legume Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
127,covercroptradlnd,Cover Crop Traditional Annual Legume Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
128,lowrestill,Tillage Management-Low Residue,1,"Low residue tillage management requires 15 – 29% cover, strip till or no-till, and less than 40% soil disturbance.  Enter units of acres or percent.",129,,112,3
129,conservetill,Tillage Management-Conservation,1,"Conservation tillage requires: (a) a minimum 30% residue coverage at the time of planting, and (b) a non-inversion tillage method. Enter units of acres or percent.",129,Tillage Management,112,3
130,covercroptradnutbred,Cover Crop Traditional with Fall Nutrients Brassica Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Brassica cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method on cropland where manure is applied following the harvest of a summer crop and prior to cover crop planting. The crop may not be harvested in the spring. Enter units of acres or percent.,238,,43,3
131,covercroptradlno,Cover Crop Traditional Annual Legume Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
132,covercroptradlgled,Cover Crop Traditional Legume Plus Grass 25-50% Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume Plus Grass cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
133,nmcoren,Nutrient Management Core N,1,The nutrient management core nitrogen BMP includes 5 elements: 1) application rate modification; 2) manure analysis used in plan; 3) spreader must be calibrated within one year; 4) yield estimates used in plan; 5) legume residual N credits and manure mineralization are credited as part of plan. Enter units of acres or percent.,133,Nutrient Management,25,3
134,nmcorep,Nutrient Management Core P,1,The nutrient management core phosphorus BMP includes 6 elements: 1) application rate modification; 2) P soil test used in plan; 3) manure analysis used in plan; 4) spreader must be calibrated within one year; 5) yield estimates used in plan;  6) legume residual N credits and manure mineralization are credited as part of plan. Enter units of acres or percent.,133,,26,3
135,accessareaaufence,Riparian Fence,2,Fencing provides a barrier to animals and people and can be used to control movement or limit access to an area or property. Enter the number of animal units.,135,Riparian Fence,86,5
136,cropirrmgmt,Cropland Irrigation Management,1,"Cropland under irrigation management is used to decrease climatic variability and maximize crop yields. The potential nutrient reduction benefit stems not from the increased average yield (20-25%) of irrigated versus non-irrigated cropland, but from the greater consistency of crop yields over time matched to nutrient applications. This increased consistency in crop yields provides a subsequent increased consistency in plant nutrient uptakes over time matched to applications, resulting in a decrease in potential environmental nutrient losses. Enter units of acres or percent.",136,Cropland Irrigation Management,105,3
137,nmraten,Nutrient Management N Rate,1,"Nitrogen rate adjustment practice requires that the core nitrogen nutrient management BMP be implemented. Includes any of the following: split applications, variable rate N application, or reduced rate from core NM BMP. Enter units of acres or percent of area.",133,,27,3
138,nmratep,Nutrient Management P Rate,1,"Phosphorus rate adjustment practice requires that the core phosphorus nutrient management BMP be implemented. Includes any of the following: split applications, variable rate P application, or reduced rate from core NM BMP. P-based manure application must be equivalent to crop P removal. Enter units of acres or percent of area.",133,,28,3
139,nmplacen,Nutrient Management N Placement,1,"Nitrogen rate placement practice requires that the core nitrogen nutrient management BMP be implemented. Includes any of the following: injection of inorganic N, incorporation, or setbacks. Enter units of acres or percent of area.",133,,29,3
140,grassbuffexcl,Grass Buffer-Streamside with Exclusion Fencing,1,"Converts streamside pasture to open space and prevents livestock from entering the stream. The recommended buffer width is 100 feet, with a 35 feet minimum width required. Enter units of feet of fence or acres excluded by the fence. There are 17.6 animal units excluded for every 1,000 feet of fencing. Acres are converted to length if you enter a width. If width is not entered, 35 feet is used. Widths less than 35 should use the Grass Buffer-Narrow with Exclusion Fencing BMP.",7,,10,1
141,nmplacep,Nutrient Management P Placement,1,"Phosphorus rate placement practice requires that the core phosphorus nutrient management BMP be implemented. Includes any of the following: incorporation, setbacks, or use of P Index for application rate. Enter units of acres or percent of area.",133,,30,3
142,nmtimen,Nutrient Management N Timing,1,Nitrogen rate timing practice requires that the core nitrogen nutrient management BMP be implemented. Includes split application. Enter units of acres or percent of area.,133,,31,3
143,nmtimep,Nutrient Management P Timing,1,Phosphorus rate timing practice requires that the core phosphorus nutrient management BMP be implemented. Includes either split application or application in lower P-loss risk season. Enter units of acres or percent of area.,133,,32,3
144,urbannmplan,Nutrient Management Plan,1,"An urban nutrient management plan is a written, site-specific plan which addresses how the major plant nutrients (nitrogen, phosphorus and potassium) are to be annually managed for expected turf and landscape plants and for the protection of water quality.  The goal of an urban turf and landscape nutrient management plan is to minimize adverse environmental effects, primarily upon water quality, and avoid unnecessary nutrient applications.  It should be recognized that some level of nutrient loss to surface and groundwater will occur even by following the recommendations in a nutrient management plan.  The impacts of urban nutrient management plans will differ from lawn-to-lawn depending on nutrient export risk factors.  This BMP is the default for lawns with an unknown risk type.  Enter units of acres or percent.",144,Nutrient Management Plan,44,3
145,urbannmplanhr,Nutrient Management Plan High Risk Lawn,1,"An urban nutrient management plan is a written, site-specific plan which addresses how the major plant nutrients (nitrogen, phosphorus and potassium) are to be annually managed for expected turf and landscape plants and for the protection of water quality.  The goal of an urban or turf and landscape nutrient management plan is to minimize adverse environmental effects, primarily upon water quality, and avoid unnecessary nutrient applications.  It should be recognized that some level of nutrient loss to surface and groundwater will occur even by following the recommendations in a nutrient management plan.  The impacts of urban nutrient management plans will differ from lawn-to-lawn depending on nutrient export risk factors.  This BMP is for lawns with a high risk of nutrient export. Enter units of acres or percent.",144,,44,3
146,urbannmplanlr,Nutrient Management Plan Low Risk Lawn,1,"An urban nutrient management plan is a written, site-specific plan which addresses how the major plant nutrients (nitrogen, phosphorus and potassium) are to be annually managed for expected turf and landscape plants and for the protection of water quality.  The goal of an urban or turf and landscape nutrient management plan is to minimize adverse environmental effects, primarily upon water quality, and avoid unnecessary nutrient applications.  It should be recognized that some level of nutrient loss to surface and groundwater will occur even by following the recommendations in a nutrient management plan.  The impacts of urban nutrient management plans will differ from lawn-to-lawn depending on nutrient export risk factors.  This BMP is for lawns with a low risk of nutrient export. Enter units of acres or percent.",144,,44,3
147,urbannmmdca,Nutrient Management Maryland Commercial Applicators,1,"This BMP credits nitrogen reductions to urban lawns based upon Maryland legislation and regulations that: 1) limit the N content and establishes slow release content for fertilizer products sold in retail outlets; 2) sets upper limit on the maximum amount of N fertilizer that commercial applicators can apply in any one application (0.9 lbs/acre/year); 3) prohibits application on paved surfaces, water features, or during the dormant season, and 4) has verifiable procedures for commercial applicator training, certificate and application record-keeping, including fines for non-compliance.  This BMP specifically credits a reduction in N application by commercial applicators in Maryland. Enter units of acres or percent.",144,,44,3
148,urbannmmddiy,Nutrient Management Maryland Do It Yourself,1,"This BMP credits nitrogen reductions to urban lawns based upon Maryland legislation and regulations that: 1) limit the N content and establishes slow release content for fertilizer products sold in retail outlets; 2) sets upper limit on the maximum amount of N fertilizer that commercial applicators can apply in any one application (0.9 lbs/acre/year); 3) prohibits application on paved surfaces, water features, or during the dormant season, and 4) has verifiable procedures for commercial applicator training, certificate and application record-keeping, including fines for non-compliance.  This BMP specifically credits a reduction in N application by do-it-yourselfers (DIYs) in Maryland. Enter units of acres or percent.",144,,44,3
150,covercroptradlgleo,Cover Crop Traditional Legume Plus Grass 25-50% Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
151,covercroptradlglea,Cover Crop Traditional Legume Plus Grass 25-50% Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume Plus Grass cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
152,covercroptradlglnd,Cover Crop Traditional Legume Plus Grass 25-50% Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume Plus Grass cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
153,covercroptradlglno,Cover Crop Traditional Legume Plus Grass 25-50% Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Legume Plus Grass cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
154,covercroptradted,Cover Crop Traditional Triticale Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
155,covercroptradteo,Cover Crop Traditional Triticale Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
156,covercroptradtea,Cover Crop Traditional Triticale Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
157,covercroptradtnd,Cover Crop Traditional Triticale Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
158,covercroptradtno,Cover Crop Traditional Triticale Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
159,covercroptradtld,Cover Crop Traditional Triticale Late Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted after the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
160,covercroptradtlo,Cover Crop Traditional Triticale Late Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Triticale cover crop is planted after the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
161,covercroptradared,Cover Crop Traditional Annual Ryegrass Early Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
163,covercroptradareo,Cover Crop Traditional Annual Ryegrass Early Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
164,covercroptradarea,Cover Crop Traditional Annual Ryegrass Early Aerial,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
165,covercroptradarnd,Cover Crop Traditional Annual Ryegrass Normal Drilled,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted no more than 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
166,covercroptradarno,Cover Crop Traditional Annual Ryegrass Normal Other,1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Ryegrass cover crop is planted no more than 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
167,covercroptradohed,"Cover Crop Traditional Oats, Winter Hardy Early Drilled",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted at least 2 weeks prior to the average frost date with a drilled seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
168,covercroptradoheo,"Cover Crop Traditional Oats, Winter Hardy Early Other",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted at least 2 weeks prior to the average frost date with neither a drilled nor aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
169,covercroptradohea,"Cover Crop Traditional Oats, Winter Hardy Early Aerial",1,A short-term crop grown after the main cropping season that reduces nutrient losses to ground and surface water by sequestering nutrients. Oats cover crop is planted at least 2 weeks prior to the average frost date with a aerial seeding method. Fall nutrients are not applied and the crop may not be harvested in the spring. Enter units of acres or percent.,83,,43,3
170,hrtill,Tillage Management-Continuous High Residue,1,"Continuous, High Residue, Minimum Soil Disturbance Tillage (HRTill) Management eliminates soil disturbance by plows and implements intended to invert residue.  A minimum of 60% crop residue cover must remain on the soil surface as measured after planting.  The practice involves all crops in a multi-crop, multi-year rotation and the crop residue cover requirement (including living and dead material) is to be met immediately after planting of each crop. Enter units of acres or percent.",129,,112,3
172,vegopchannoudcd,"Vegetated Open Channels - C/D soils, no underdrain",1,"Open channels are practices that convey stormwater runoff and provide treatment as the water is conveyed, includes bioswales.  Runoff passes through either vegetation in the channel, subsoil matrix, and/or is infiltrated into the underlying soils. This BMP has no underdrain and is in C or D soil. Enter unit of total acres treated or percent of acres treated.",78,,42,3
173,permpavnosvnoudab,"Permeable Pavement w/o Sand, Veg. - A/B soils, no underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain. This BMP has no underdrain, no sand or vegetation and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",174,,42,3
174,permpavnosvudcd,"Permeable Pavement w/o Sand, Veg. - C/D soils, underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain. This BMP has an underdrain, no sand or vegetation and is in C or D soil. Use this BMP where the specific design is unknown. Enter unit of total acres treated or percent of acres treated.",174,Permeable Pavement,42,3
175,permpavsvnoudab,"Permeable Pavement w/ Sand, Veg. - A/B soils, no underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain. This BMP has no underdrain, has sand and/or vegetation and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",174,,42,3
176,permpavsvudcd,"Permeable Pavement w/ Sand, Veg. - C/D soils, underdrain",1,"Pavement or pavers that reduce runoff volume and treat water quality through both infiltration and filtration mechanisms.  Water filters through open voids in the pavement surface to a washed gravel subsurface storage reservoir, where it is then slowly infiltrated into the underlying soils or exits via an underdrain.  This BMP has an underdrain, has sand and/or vegetation and is in C or D soil. Enter unit of total acres treated or percent of acres treated.",174,,42,3
177,bioretnoudab,"Bioretention/raingardens - A/B soils, no underdrain",1,"An excavated pit backfilled with engineered media, topsoil, mulch, and vegetation.  These are planting areas installed in shallow basins in which the storm water runoff is temporarily ponded and then treated by filtering through the bed components, and through biological and biochemical reactions within the soil matrix and around the root zones of the plants.  This BMP has no underdrain and is in A or B soil. Enter unit of total acres treated or percent of acres treated.",178,,42,3
178,bioretudcd,"Bioretention/raingardens - C/D soils, underdrain",1,"An excavated pit backfilled with engineered media, topsoil, mulch, and vegetation.  These are planting areas installed in shallow basins in which the storm water runoff is temporarily ponded and then treated by filtering through the bed components, and through biological and biochemical reactions within the soil matrix and around the root zones of the plants.  This BMP has an underdrain and is in C or D soil. Use this BMP where the specific design is unknown. Enter unit of total acres treated or percent of acres treated.",178,Bioretention/raingardens,42,3
